Row Labels,Acute Bronchitis,Acute respiratory infections (ARI),Allergic Rhinitis,Asthma,Bronchiolitis,Bronchitis,Bullous Dermatoses,Chickenpox,Common Cold,Conjunctival Disorders,COVID-19,Croup,Denom,ECLD - Asthma exacerbations,ECLD - COPD exacerbations,Exacerbations of chronic lung disease,Herpes Simplex,Herpes Zoster,Impetigo,Infectious Intestinal Diseases,Infectious Mononucleosis,Influenza-like illness,Laryngitis,Laryngitis and Tracheitis,Lower Respiratory Tract Infections,Measles,Meningitis and Encephalitis,Mumps,Non-infective Enteritis and Colitis,Number of practices,Otitis Media,Otitis Media Acute,Otitis Media Acute New,Peripheral Nervous Disease,Pleurisy,Pneumonia,Pneumonia and Pneumonitis,Population,Practice Count,Respiratory System Diseases,Rubella,Scabies,Sinusitis,Skin and Subcutaneous Tissue Infections,Strep Throat and Peritonsillar Abscess,Symptoms involving musckuoskeletal,Symptoms involving musculoskeletal,Symptoms involving Respiratory and Chest,Symptoms involving Skin and Integument Tissues,Tonsillitis and acute Pharyngitis,Tonsillitis/Pharyngitis,Upper Respiratory Tract Infections,Urinary Tract Infections,Viral Hepatitis,Whooping Cough,Grand Total
07/03/2016,4952,,312,744,,,12,456,8056,1948,,,,,,,244,368,404,604,20,1240,,368,5100,0,0,4,512,492,,1756,,460,48,,96,4684560,,22536,0,112,1512,2872,252,320,,1196,2092,3628,,15148,1320,12,8,4763764
14/03/2016,5116,,392,664,,,0,396,8292,1976,,,,,,,284,340,388,544,16,1380,,360,5324,0,4,0,580,504,,1824,,524,60,,152,4805796,,23028,0,84,1504,2764,296,292,,1244,2376,3496,,15332,1404,16,20,4886772
21/03/2016,4592,,292,536,,,12,344,6900,1812,,,,,,,236,264,264,436,20,1172,,292,4688,0,8,4,420,504,,1484,,408,28,,64,4809876,,19500,0,64,1384,2252,256,184,,1184,1952,2872,,12848,1128,8,12,4878300
28/03/2016,4344,,312,512,,,8,296,5976,1612,,,,,,,212,312,300,408,40,1052,,240,4504,8,4,12,320,504,,1332,,348,44,,108,4821300,,17848,0,64,1368,2452,172,220,,988,1996,2648,,11460,1192,12,4,4884532
04/04/2016,4456,,504,608,,,8,460,5052,1684,,,,,,,280,396,328,492,24,896,,272,4588,0,0,4,420,524,,1316,,524,48,,92,5000288,,17732,0,100,1460,2872,84,232,,1080,2292,2648,,10648,1616,16,4,5064048
11/04/2016,3712,,672,628,,,8,448,4564,1812,,,,,,,284,424,316,444,28,800,,200,3884,4,8,4,480,536,,1208,,552,84,,84,5102524,,16280,0,96,1316,2844,76,276,,1260,2540,2720,,9964,1568,16,4,5162668
18/04/2016,3072,,1004,584,,,8,344,4292,1804,,,,,,,296,352,464,496,36,444,,240,3232,4,4,4,460,544,,1168,,616,88,,60,5152652,,14924,0,92,1016,3036,92,304,,1080,2424,2508,,9144,1536,12,8,5208444
25/04/2016,3156,,936,564,,,8,360,4664,1708,,,,,,,264,372,316,516,32,420,,248,3240,4,8,8,480,536,,1040,,508,28,,68,5028844,,15376,0,56,1124,2864,144,344,,1140,2224,2512,,9536,1276,24,12,5084960
02/05/2016,2816,,1448,544,,,0,400,4056,1604,,,,,,,304,372,316,432,12,304,,184,2960,4,8,4,492,548,,1184,,452,52,,92,5163028,,14348,0,108,964,2688,104,252,,1064,1976,2532,,8884,1324,12,4,5215876
09/05/2016,3648,,2344,684,,,8,480,4332,1924,,,,,,,240,364,224,524,16,256,,292,3780,0,12,4,504,548,,1360,,536,56,,72,5196604,,17300,0,60,1096,3244,148,300,,1208,2740,2860,,9880,1444,20,4,5259116
