Row Labels,Acute Bronchitis,Acute respiratory infections (ARI),Allergic Rhinitis,Asthma,Bronchiolitis,Bronchitis,Bullous Dermatoses,Chickenpox,Common Cold,Conjunctival Disorders,COVID-19,Croup,Denom,ECLD - Asthma exacerbations,ECLD - COPD exacerbations,Exacerbations of chronic lung disease,Herpes Simplex,Herpes Zoster,Impetigo,Infectious Intestinal Diseases,Infectious Mononucleosis,Influenza-like illness,Laryngitis,Laryngitis and Tracheitis,Lower Respiratory Tract Infections,Measles,Meningitis and Encephalitis,Mumps,Non-infective Enteritis and Colitis,Number of practices,Otitis Media,Otitis Media Acute,Otitis Media Acute New,Peripheral Nervous Disease,Pleurisy,Pneumonia,Pneumonia and Pneumonitis,Population,Practice Count,Respiratory System Diseases,Rubella,Scabies,Sinusitis,Skin and Subcutaneous Tissue Infections,Strep Throat and Peritonsillar Abscess,Symptoms involving musckuoskeletal,Symptoms involving musculoskeletal,Symptoms involving Respiratory and Chest,Symptoms involving Skin and Integument Tissues,Tonsillitis and acute Pharyngitis,Tonsillitis/Pharyngitis,Upper Respiratory Tract Infections,Urinary Tract Infections,Viral Hepatitis,Whooping Cough,Grand Total
01/06/2020,,,9404,988,,1404,52,48,464,1724,,,,,,,500,788,344,520,4,92,,36,1792,0,40,8,892,,,960,,2256,68,,220,,,18440,0,112,940,12888,16,,1388,8944,3680,1756,,4528,1660,12,8,76976
08/06/2020,,,3128,952,,1360,20,32,548,1268,,,,,,,496,844,372,676,24,140,,20,2060,0,52,4,880,,,956,,2080,200,,356,,,13240,0,112,1228,11796,16,,1404,9568,3496,1912,,5088,1936,20,4,66288
15/06/2020,,,3768,884,,1256,40,56,440,1260,,,,,,,344,784,324,532,8,124,,44,1772,0,44,4,836,,,984,,2224,112,,268,,,12688,0,84,888,11608,4,,1324,9120,3432,1768,,4460,1696,16,4,63200
22/06/2020,,,4356,844,,1328,20,76,460,1452,,,,,,,384,784,324,528,16,44,,28,1804,0,76,4,932,,,988,,2140,152,,276,,,13584,0,96,872,13352,20,,1420,8564,3880,1932,,4564,1776,28,0,67104
29/06/2020,,,1632,884,,1656,28,76,468,1196,,,,,,,428,976,376,692,20,100,,28,2260,0,48,4,1020,,,1004,,2188,136,,368,,,11976,0,160,1212,13204,24,,1500,9528,3880,1976,,5104,1920,16,12,66100
06/07/2020,,,1108,888,,1276,36,72,552,1184,,,,,,,432,828,456,648,4,52,,92,1876,0,32,0,1124,,,1120,,2440,132,,364,,,11396,0,96,1252,12892,28,,1420,9400,3656,1932,,5308,2056,12,4,64168
13/07/2020,,,1200,852,,1372,36,40,620,1228,,,,,,,496,924,356,716,12,52,,68,1940,0,64,20,1128,,,1028,,2420,140,,328,,,11604,0,140,1200,13596,20,,1488,9864,3976,2216,,5468,1900,28,0,66540
20/07/2020,,,1080,716,,1428,20,72,720,1228,,,,,,,464,840,392,600,8,60,,108,1968,0,72,12,1184,,,1060,,2332,120,,292,,,11616,0,128,1188,14096,32,,1520,9368,3780,2280,,5716,1900,8,4,66412
27/07/2020,,,924,764,,1484,48,88,876,1176,,,,,,,440,852,356,752,16,80,,112,2096,0,76,8,1176,,,1116,,2468,156,,320,,,11904,0,64,1136,13168,48,,1540,9604,4056,2276,,5912,2096,24,4,67216
03/08/2020,,,904,808,,1644,52,100,936,1304,,,,,,,496,944,432,696,8,68,,92,2268,0,56,8,1272,,,1156,,2420,148,,320,,,12412,0,108,1192,14624,16,,1492,9528,4316,2348,,6108,1916,28,4,70224
10/08/2020,,,624,896,,1480,20,116,844,1468,,,,,,,468,820,436,704,12,32,,116,2164,4,56,8,1096,,,1308,,2396,160,,404,,,11400,0,176,940,16524,16,,1376,8928,4608,2212,,5816,1828,36,4,69496
17/08/2020,,,308,676,,1104,24,40,656,804,,,,,,,296,600,284,520,16,48,,64,1492,0,16,0,800,,,1044,,1636,72,,196,,,8192,0,84,688,9336,20,,1000,6580,2812,1616,,4340,1308,8,0,46680
24/08/2020,,,504,856,,1604,16,80,1016,1300,,,,,,,496,892,436,668,40,68,,112,2148,0,36,8,1212,,,1204,,2492,156,,272,,,11884,0,120,1176,13500,56,,1408,9864,3880,2448,,6384,1740,20,4,68100
31/08/2020,,,336,633,,1218,27,57,1050,819,,,,,,,336,699,357,471,24,75,,114,1758,0,60,0,723,,,810,,1695,75,,282,,,8895,0,75,915,8853,24,,1017,7149,2595,1629,,4815,1350,15,0,48951
07/09/2020,,,371,990,,1341,33,121,1875,1048,,,,,,,419,734,302,645,9,139,,313,2555,0,50,3,960,,,660,,2002,102,,246,,,14906,0,107,1298,10363,42,,1246,11571,6704,2752,,8086,1509,31,0,73533
14/09/2020,,,433,1279,,1084,17,106,1663,1032,,,,,,,443,693,315,644,21,215,,301,3023,0,27,0,898,,,502,,2012,53,,186,,,19003,0,105,1502,10073,54,,1166,14551,10189,3002,,9895,1601,17,3,86108
21/09/2020,,,375,1368,,471,18,132,432,948,,,,,,,366,714,366,621,9,246,,165,3045,0,18,3,840,,,108,,2145,15,,204,,,18036,0,87,1581,8805,9,,1074,14265,12996,1896,,7644,1473,30,3,80508
28/09/2020,,,408,1728,,576,16,140,348,1464,,,,,,,576,916,600,856,28,352,,200,3808,4,12,0,1168,,,132,,2896,24,,372,,,22092,4,172,2176,11276,28,,1680,18020,17388,2412,,8996,2420,40,4,103332
05/10/2020,,,312,1780,,644,36,168,272,1408,,,,,,,536,884,444,772,32,268,,120,3620,0,24,12,1168,,,152,,2896,32,,404,,,21108,0,152,2112,10912,36,,1536,17392,16380,2104,,7984,2340,24,4,98068
12/10/2020,,,356,1832,,544,40,148,272,1516,,,,,,,572,960,476,736,44,292,,200,3592,0,12,4,1056,,,144,,2908,52,,380,,,21080,0,116,2020,10836,48,,1580,18168,18040,2176,,7856,2176,20,4,100256
19/10/2020,,,258,1200,,381,15,102,159,978,,,,,,,345,675,354,579,15,195,,198,2697,0,18,3,831,,,69,,2019,24,,330,,,15531,0,114,1512,8124,27,,1158,13527,12804,1692,,5949,1575,15,0,73473
26/10/2020,,,198,710,,298,6,78,78,670,,,,,,,266,410,198,322,22,116,,102,1590,2,6,4,542,,,38,,1268,12,,186,,,9016,0,82,880,5036,14,,682,8056,8462,914,,3232,1084,16,0,44596
02/11/2020,,,118,838,,232,14,104,60,688,,,,,,,256,410,218,356,10,116,,80,1522,0,10,2,568,,,50,,1258,16,,200,,,9106,0,84,826,5040,28,,742,8112,8524,1032,,3306,1002,6,2,44936
09/11/2020,,,172,848,,238,14,100,74,676,,,,,,,258,498,258,324,30,104,,70,1504,0,8,2,540,,,66,,1398,16,,198,,,9588,0,108,886,5276,14,,750,8442,9294,1010,,3378,1180,12,0,47334
16/11/2020,,,246,1329,,360,33,195,102,1059,,,,,,,375,699,324,621,42,147,,129,2310,0,18,0,894,,,60,,2175,45,,258,,,15033,0,120,1428,7770,33,,1173,13017,14247,1722,,5472,1740,6,3,73185
23/11/2020,,,297,1368,,351,18,129,117,1089,,,,,,,372,684,324,609,15,141,,114,2208,0,15,6,894,,,93,,2043,30,,282,,,14652,0,111,1401,7566,36,,1146,12528,13407,1617,,5379,1674,21,3,70740
30/11/2020,,,164,754,,224,16,102,98,616,,,,,,,236,410,202,316,14,90,,96,1410,0,2,4,512,,,72,,1314,22,,192,,,8890,0,66,850,4852,28,,650,7822,8230,910,,3326,962,8,0,43460
07/12/2020,,,198,808,,224,16,90,98,670,,,,,,,294,422,260,346,14,100,,106,1488,2,4,6,602,,,54,,1200,24,,142,,,9220,0,54,862,4916,22,,756,8050,8326,1110,,3566,1028,18,0,45096
14/12/2020,,,69,361,,135,5,52,39,339,,,,,,,124,223,117,205,9,48,,45,762,0,4,0,299,,,17,,597,11,,65,,,4544,0,45,469,2445,18,,332,3978,4052,532,,1777,482,4,1,22205
21/12/2020,,,108,582,,204,4,44,56,506,,,,,,,202,344,162,252,8,52,,64,1302,0,4,2,354,,,30,,796,8,,108,,,7198,0,34,666,3768,16,,464,5828,5506,924,,2748,766,10,2,33122
28/12/2020,,,90,636,,309,15,132,57,654,,,,,,,246,555,252,300,24,114,,66,2001,0,9,3,510,,,54,,1143,27,,192,,,9168,0,78,873,4563,30,,591,8043,7065,1224,,3489,984,12,0,43509
04/01/2021,,,225,1173,,345,24,99,78,687,,,,,,,297,579,330,390,27,153,,60,2406,0,9,0,714,,,48,,1806,27,,258,,,12399,0,120,1497,6393,18,,882,11895,11385,1278,,4341,1230,33,3,61209
11/01/2021,,,364,1444,,492,28,128,76,1032,,,,,,,560,936,432,688,24,168,,104,2964,0,12,8,988,,,56,,2408,40,,344,,,16984,0,120,2056,9464,32,,1392,16344,16540,1700,,5896,1924,8,0,85756
18/01/2021,,,344,1524,,448,16,128,68,1232,,,,,,,564,952,396,700,12,136,,76,2976,0,8,4,988,,,76,,2300,52,,396,,,16572,0,96,1808,9572,52,,1412,16072,16440,1684,,5444,1912,24,12,84496
25/01/2021,,,308,1404,,400,24,124,84,1096,,,,,,,516,784,404,644,12,156,,84,2604,0,16,0,956,,,68,,2252,44,,360,,,15424,0,112,1860,9128,32,,1192,14724,16384,1548,,5240,1764,40,0,79788
01/02/2021,,,372,1544,,540,16,124,72,1504,,,,,,,616,1008,504,764,60,188,,84,3036,4,8,8,1368,,,100,,3036,56,,408,,,19308,0,160,2144,11500,60,,1472,18900,20924,2084,,6552,2260,12,4,100800
08/02/2021,,,384,1700,,496,32,76,56,1536,,,,,,,572,888,556,804,20,104,,160,3008,0,12,8,1156,,,112,,3048,44,,384,,,18568,4,204,2040,11528,24,,1820,17408,21796,1940,,6252,2196,24,8,98968
15/02/2021,,,408,1288,,440,12,120,88,1100,,,,,,,624,792,372,692,32,144,,88,2452,0,12,0,1032,,,108,,2496,32,,276,,,16324,0,148,2016,10160,16,,1296,14876,18608,1744,,5676,2008,28,4,85512
22/02/2021,,,864,1952,,500,20,92,56,1392,,,,,,,584,972,444,748,16,72,,84,2552,0,12,12,1092,,,64,,2992,28,,304,,,18220,0,116,1880,11652,40,,1712,17844,21132,1824,,5656,2384,44,0,97356
01/03/2021,,,1048,2132,,480,40,100,76,1552,,,,,,,664,924,460,768,12,76,,148,2780,0,20,12,1340,,,76,,3412,32,,316,,,20340,0,200,1840,12000,24,,1808,19500,23264,2016,,6300,2436,36,4,106236
08/03/2021,,,1164,1776,,588,12,188,104,1612,,,,,,,692,944,556,744,28,132,,200,2940,0,4,4,1324,,,88,,3432,20,,316,,,20820,0,168,2088,12452,60,,1908,19252,23696,2124,,6832,2404,60,0,108732
15/03/2021,,,932,1848,,500,12,156,136,1460,,,,,,,592,968,480,720,24,104,,380,3112,0,28,4,1264,,,88,,3224,24,,232,,,20592,0,116,1872,12224,36,,1796,20612,22240,2352,,7708,2232,36,0,108104
22/03/2021,,,844,1656,,520,12,192,168,1200,,,,,,,592,756,408,776,16,104,,464,3468,0,20,8,1188,,,92,,2896,44,,300,,,21368,0,140,1760,10768,44,,1712,19192,19892,2296,,8328,2004,52,0,103280
29/03/2021,,,1608,1556,,480,20,136,144,1188,,,,,,,488,832,368,648,20,64,,356,3088,0,8,12,860,,,96,,2872,16,,172,,,19564,4,168,1808,10900,40,,1468,16792,19016,2140,,7552,1476,44,0,96004
05/04/2021,,,1912,1552,,588,28,128,184,1260,,,,,,,500,852,476,652,16,92,,356,3756,0,20,4,1044,,,84,,2788,32,,268,,,21376,0,120,2044,10572,40,,1460,18036,21092,2076,,8020,2264,28,0,103720
12/04/2021,,,2244,1764,,620,28,140,152,1556,,,,,,,664,928,484,740,36,120,,396,3780,0,20,0,1228,,,96,,3552,12,,288,,,23128,0,284,2124,12752,40,,1960,20436,24800,2272,,8248,2420,52,0,117364
19/04/2021,,,2760,1232,,448,8,156,88,1108,,,,,,,520,572,340,528,12,80,,236,2576,0,12,4,1020,,,68,,2344,16,,200,,,17544,0,132,1468,9568,44,,1376,15500,19104,1676,,5680,1652,40,0,88112
26/04/2021,,,3744,1732,,460,20,168,164,1592,,,,,,,772,940,612,716,56,84,,476,3724,0,4,4,1180,,,96,,3436,36,,248,,,24804,0,104,2040,12288,52,,1816,22468,24564,2444,,9076,2068,36,0,122024
03/05/2021,,,1616,1580,,592,4,244,164,1372,,,,,,,568,964,388,780,24,64,,632,3792,4,8,8,1240,,,100,,3032,32,,276,,,23132,0,108,1712,10436,44,,1616,20472,19280,2704,,9776,1952,40,0,108756
10/05/2021,,,1696,1840,,664,24,220,252,1608,,,,,,,660,1164,468,960,36,108,,984,5076,0,4,0,1476,,,120,,3800,44,,388,,,29508,0,148,2300,12756,64,,2108,25896,23312,3428,,13184,2300,20,8,136624
17/05/2021,,,1408,1892,,660,48,296,352,1924,,,,,,,592,1096,428,1152,44,164,,1112,5568,0,16,4,1720,,,220,,3752,36,,384,,,31868,0,144,2008,12744,88,,2168,27736,23104,3960,,15056,2388,28,12,144172
24/05/2021,,,1196,1696,,624,44,272,284,1828,,,,,,,544,1068,412,1028,20,136,,1016,5364,0,8,12,1320,,,164,,3280,24,,336,,,30848,0,128,2336,12072,68,,1832,25972,22048,3860,,15628,2004,28,4,137504
31/05/2021,,,2268,1480,,660,28,264,232,1672,,,,,,,600,804,356,884,24,92,,828,5504,0,12,0,1388,,,172,,2720,20,,332,,,28268,0,68,1592,11612,68,,1824,22672,20400,2944,,13144,2036,24,12,125004
